apprentice_id,snapshot_date,quiz_score,attendance_rate,feedback_gap_days,risk_status,promoted_flag
20,2025-02-26,72.3,98.6,5,Green,False
20,2025-03-05,73.2,90.6,13,Green,False
21,2025-01-01,56.3,90.9,20,Amber,False
21,2025-01-08,51.9,86.0,5,Amber,False
21,2025-01-15,67.2,93.6,14,Green,False
21,2025-01-22,70.4,88.7,20,Amber,False
21,2025-01-29,72.6,96.4,22,Red,False
21,2025-02-05,62.6,88.3,9,Amber,False
21,2025-02-12,74.7,92.5,4,Green,False
21,2025-02-19,62.7,73.0,5,Amber,False
21,2025-02-26,85.2,93.0,27,Red,True
21,2025-03-05,79.9,91.6,11,Green,False
22,2025-01-01,52.6,79.7,28,Red,False
22,2025-01-08,65.4,82.4,29,Red,False
22,2025-01-15,50.9,68.1,22,Red,False
22,2025-01-22,55.0,76.0,4,Amber,False
22,2025-01-29,55.8,80.2,9,Amber,False
22,2025-02-05,80.8,87.6,16,Amber,False
22,2025-02-12,65.1,92.1,16,Amber,False
22,2025-02-19,59.2,69.9,16,Amber,True
22,2025-02-26,65.6,95.2,12,Green,False
22,2025-03-05,65.5,92.8,14,Green,False
23,2025-01-01,72.3,84.6,28,Red,False
23,2025-01-08,62.1,57.1,20,Red,False
23,2025-01-15,64.7,76.8,22,Red,False
23,2025-01-22,64.9,75.3,4,Amber,False
23,2025-01-29,59.1,68.4,26,Red,False
23,2025-02-05,71.6,90.3,16,Amber,False
23,2025-02-12,62.8,68.9,14,Amber,False
23,2025-02-19,76.1,90.8,11,Green,False
23,2025-02-26,80.3,96.7,19,Amber,False
23,2025-03-05,48.1,66.4,15,Red,False
24,2025-01-01,68.8,88.5,28,Red,False
24,2025-01-08,56.3,69.3,0,Amber,False
24,2025-01-15,86.0,88.2,5,Green,False
24,2025-01-22,81.6,96.4,15,Amber,False
24,2025-01-29,62.9,67.5,7,Amber,False
24,2025-02-05,73.2,88.3,29,Red,False
24,2025-02-12,65.6,87.3,12,Green,False
24,2025-02-19,64.6,77.2,7,Amber,False
24,2025-02-26,87.5,90.1,8,Green,False
24,2025-03-05,78.9,87.5,6,Green,False
25,2025-01-01,83.7,97.1,2,Green,False
25,2025-01-08,67.3,87.0,17,Amber,False
25,2025-01-15,62.7,89.5,27,Red,False
25,2025-01-22,79.5,89.3,22,Red,False
25,2025-01-29,71.5,96.3,25,Red,False
25,2025-02-05,66.0,88.7,28,Red,False
25,2025-02-12,68.1,91.5,17,Amber,False
25,2025-02-19,73.1,81.9,8,Green,False
25,2025-02-26,76.7,81.2,15,Amber,False
25,2025-03-05,71.5,95.0,9,Green,False
26,2025-01-01,69.1,92.1,8,Green,False
26,2025-01-08,74.5,88.2,23,Red,False
26,2025-01-15,83.5,87.6,10,Green,False
26,2025-01-22,84.9,88.8,8,Green,False
26,2025-01-29,86.5,95.4,0,Green,False
26,2025-02-05,52.3,70.0,8,Amber,False
26,2025-02-12,74.4,84.2,14,Green,False
26,2025-02-19,69.0,76.5,22,Red,False
26,2025-02-26,58.4,72.7,12,Amber,False
26,2025-03-05,52.5,90.8,9,Amber,False
27,2025-01-01,61.6,73.2,8,Amber,True
27,2025-01-08,64.2,73.2,10,Amber,False
27,2025-01-15,74.9,88.2,11,Green,False
27,2025-01-22,66.1,83.1,18,Amber,False
27,2025-01-29,66.4,89.6,25,Red,False
27,2025-02-05,59.0,68.5,9,Amber,False
27,2025-02-12,52.7,87.0,6,Amber,True
27,2025-02-19,94.3,96.5,7,Green,False
27,2025-02-26,67.6,93.9,13,Green,False
27,2025-03-05,58.4,72.5,28,Red,False
28,2025-01-01,58.7,68.1,7,Amber,False
28,2025-01-08,50.1,70.1,11,Amber,False
28,2025-01-15,59.9,67.2,13,Amber,False
28,2025-01-22,40.9,51.3,2,Red,False
28,2025-01-29,89.4,89.2,19,Amber,False
28,2025-02-05,72.5,84.1,4,Green,False
28,2025-02-12,63.9,78.6,19,Amber,False
28,2025-02-19,61.6,85.2,1,Amber,False
28,2025-02-26,87.0,85.7,4,Green,False
28,2025-03-05,73.1,96.1,18,Amber,False
29,2025-01-01,60.5,79.9,29,Red,False
29,2025-01-08,57.4,66.3,8,Amber,False
29,2025-01-15,65.3,82.9,5,Green,False
29,2025-01-22,72.8,91.8,19,Amber,False
29,2025-01-29,79.8,92.6,17,Amber,False
29,2025-02-05,71.3,88.1,10,Green,False
29,2025-02-12,84.0,84.3,28,Red,False
29,2025-02-19,72.5,75.2,3,Amber,False
29,2025-02-26,78.9,99.1,28,Red,False
29,2025-03-05,66.3,97.5,9,Green,False
30,2025-01-01,51.6,68.7,16,Amber,False
30,2025-01-08,92.3,90.1,6,Green,False
30,2025-01-15,71.9,92.1,0,Green,False
30,2025-01-22,75.6,102.1,11,Green,True
30,2025-01-29,76.6,86.4,1,Green,False
30,2025-02-05,72.8,102.5,18,Amber,False
30,2025-02-12,79.0,92.3,11,Green,False
30,2025-02-19,59.9,72.2,28,Red,False
30,2025-02-26,76.8,89.7,0,Green,False
30,2025-03-05,83.7,93.5,9,Green,False
31,2025-01-01,77.6,83.7,12,Green,False
31,2025-01-08,80.7,91.6,10,Green,False
31,2025-01-15,73.7,83.8,11,Green,False
31,2025-01-22,65.8,79.9,8,Amber,False
31,2025-01-29,82.0,92.4,15,Amber,False
31,2025-02-05,70.8,88.6,0,Green,False
31,2025-02-12,81.9,94.6,21,Amber,False
31,2025-02-19,80.1,83.7,13,Green,False
31,2025-02-26,82.6,87.9,4,Green,False
31,2025-03-05,86.2,99.8,23,Red,False
32,2025-01-01,77.2,79.5,4,Amber,False
32,2025-01-08,53.3,83.5,25,Red,False
32,2025-01-15,59.3,72.8,3,Amber,False
32,2025-01-22,54.1,82.0,12,Amber,False
32,2025-01-29,73.7,90.7,2,Green,False
32,2025-02-05,78.4,86.0,15,Amber,False
32,2025-02-12,76.5,84.3,7,Green,False
32,2025-02-19,68.4,84.7,13,Green,False
32,2025-02-26,61.0,84.4,12,Amber,False
32,2025-03-05,72.0,88.8,16,Amber,False
33,2025-01-01,62.4,77.3,19,Amber,False
33,2025-01-08,56.5,82.4,13,Amber,False
33,2025-01-15,60.8,85.8,18,Amber,False
33,2025-01-22,83.3,91.1,21,Amber,False
33,2025-01-29,64.6,64.2,0,Red,False
33,2025-02-05,63.7,72.7,10,Amber,False
33,2025-02-12,62.0,73.5,15,Amber,False
33,2025-02-19,64.4,83.1,14,Amber,False
33,2025-02-26,68.8,80.0,19,Amber,False
33,2025-03-05,58.5,84.1,18,Amber,False
34,2025-01-01,83.5,86.2,4,Green,False
34,2025-01-08,87.3,93.5,12,Green,False
34,2025-01-15,77.8,86.9,18,Amber,False
34,2025-01-22,87.6,90.0,12,Green,False
34,2025-01-29,76.8,95.5,24,Red,False
34,2025-02-05,65.4,81.3,20,Amber,False
34,2025-02-12,63.6,80.6,7,Amber,False
34,2025-02-19,69.5,85.1,10,Green,False
34,2025-02-26,79.2,86.2,23,Red,False
34,2025-03-05,81.8,101.4,13,Green,False
35,2025-01-01,69.3,89.2,10,Green,True
35,2025-01-08,70.0,87.1,5,Green,False
35,2025-01-15,61.6,66.4,9,Amber,True
35,2025-01-22,59.0,76.1,14,Amber,False
35,2025-01-29,84.0,83.3,28,Red,False
35,2025-02-05,63.0,84.3,18,Amber,False
35,2025-02-12,66.3,89.2,24,Red,False
35,2025-02-19,64.9,82.0,19,Amber,False
35,2025-02-26,60.4,88.0,16,Amber,False
35,2025-03-05,58.1,83.7,27,Red,False
36,2025-01-01,72.2,85.1,14,Green,False
36,2025-01-08,80.7,87.4,28,Red,False
36,2025-01-15,70.8,79.4,13,Amber,False
36,2025-01-22,70.0,86.4,2,Green,False
36,2025-01-29,49.4,48.1,28,Red,True
36,2025-02-05,68.6,95.3,24,Red,True
36,2025-02-12,52.1,64.2,14,Red,False
36,2025-02-19,61.9,92.7,25,Red,False
36,2025-02-26,71.7,92.6,17,Amber,False
36,2025-03-05,64.8,71.1,24,Red,False
37,2025-01-01,84.5,99.0,5,Green,False
37,2025-01-08,66.0,93.7,11,Green,False
37,2025-01-15,58.8,72.1,16,Amber,False
37,2025-01-22,85.0,94.5,3,Green,False
37,2025-01-29,91.7,96.0,8,Green,False
37,2025-02-05,61.4,66.8,19,Amber,False
37,2025-02-12,71.2,86.0,13,Green,False
37,2025-02-19,67.3,88.6,28,Red,False
37,2025-02-26,69.3,89.6,26,Red,False
37,2025-03-05,83.7,82.3,6,Green,False
38,2025-01-01,82.0,91.6,29,Red,False
38,2025-01-08,80.3,86.7,11,Green,False
38,2025-01-15,74.9,92.8,20,Amber,False
38,2025-01-22,76.0,84.9,25,Red,False
38,2025-01-29,85.4,82.1,23,Red,False
38,2025-02-05,74.4,77.3,29,Red,False
38,2025-02-12,71.9,92.4,0,Green,False
38,2025-02-19,74.0,87.6,29,Red,False
38,2025-02-26,63.3,71.8,14,Amber,True
38,2025-03-05,67.0,90.3,11,Green,False
39,2025-01-01,71.3,87.1,10,Green,False
39,2025-01-08,86.2,88.7,25,Red,False
39,2025-01-15,63.9,74.4,25,Red,False
39,2025-01-22,56.3,72.8,3,Amber,False
39,2025-01-29,81.4,87.2,21,Amber,False
39,2025-02-05,45.7,39.9,20,Red,False
39,2025-02-12,75.2,89.5,13,Green,False
39,2025-02-19,67.0,84.1,18,Amber,False
39,2025-02-26,81.0,99.7,12,Green,False
39,2025-03-05,74.3,92.1,4,Green,False
40,2025-01-01,71.4,97.9,9,Green,False
40,2025-01-08,48.2,62.4,6,Red,False
40,2025-01-15,57.8,73.3,18,Amber,False
40,2025-01-22,61.4,81.5,2,Amber,False
40,2025-01-29,68.7,87.2,12,Green,False
40,2025-02-05,61.7,70.0,14,Amber,False
40,2025-02-12,62.7,75.1,12,Amber,False
40,2025-02-19,80.6,103.8,2,Green,False
40,2025-02-26,71.6,95.1,12,Green,False
40,2025-03-05,76.1,92.6,21,Amber,False
41,2025-01-01,91.0,93.0,0,Green,False
41,2025-01-08,79.1,81.3,7,Green,False
41,2025-01-15,65.5,88.9,11,Green,False
41,2025-01-22,77.8,95.6,3,Green,False
41,2025-01-29,73.2,90.7,17,Amber,False
41,2025-02-05,79.7,84.0,24,Red,False
41,2025-02-12,68.4,87.9,14,Green,False
41,2025-02-19,87.8,85.0,27,Red,False
41,2025-02-26,59.9,70.9,1,Amber,False
41,2025-03-05,75.3,90.3,6,Green,False
42,2025-01-01,56.1,70.5,24,Red,False
42,2025-01-08,71.4,87.4,17,Amber,True
42,2025-01-15,75.1,99.7,17,Amber,False
42,2025-01-22,81.2,86.7,12,Green,False
42,2025-01-29,61.0,64.5,10,Red,False
42,2025-02-05,65.4,94.5,25,Red,False
42,2025-02-12,70.5,90.3,11,Green,False
42,2025-02-19,93.1,89.1,10,Green,False
42,2025-02-26,64.0,83.6,22,Red,False
42,2025-03-05,79.4,85.4,0,Green,False
43,2025-01-01,74.3,92.4,28,Red,False
43,2025-01-08,73.1,93.9,7,Green,False
43,2025-01-15,47.9,66.0,22,Red,False
43,2025-01-22,63.3,75.8,27,Red,False
43,2025-01-29,60.3,88.0,13,Amber,False
43,2025-02-05,52.7,90.1,20,Amber,True
43,2025-02-12,83.7,84.2,10,Green,False
43,2025-02-19,77.4,98.3,12,Green,False
43,2025-02-26,85.0,99.3,0,Green,False
43,2025-03-05,58.9,79.6,26,Red,False
44,2025-01-01,56.0,77.7,18,Amber,False
44,2025-01-08,64.6,80.7,6,Amber,False
44,2025-01-15,73.3,97.3,5,Green,False
44,2025-01-22,81.8,85.9,24,Red,False
44,2025-01-29,76.6,94.1,15,Amber,False
44,2025-02-05,68.3,84.7,19,Amber,False
44,2025-02-12,64.7,62.5,16,Red,False
44,2025-02-19,60.7,79.5,25,Red,False
44,2025-02-26,70.0,88.9,24,Red,False
44,2025-03-05,66.9,89.0,10,Green,False
45,2025-01-01,76.4,90.6,22,Red,False
45,2025-01-08,63.3,75.9,18,Amber,False
45,2025-01-15,78.5,100.6,28,Red,False
45,2025-01-22,66.4,87.2,0,Green,False
45,2025-01-29,72.3,95.4,24,Red,False
45,2025-02-05,80.2,82.6,22,Red,False
45,2025-02-12,85.6,87.8,18,Amber,False
45,2025-02-19,61.7,65.6,0,Amber,False
45,2025-02-26,61.7,69.9,22,Red,False
45,2025-03-05,58.8,58.8,12,Red,False
46,2025-01-01,54.4,89.9,8,Amber,False
46,2025-01-08,70.7,83.5,19,Amber,False
46,2025-01-15,67.5,90.2,28,Red,False
46,2025-01-22,83.4,95.9,8,Green,False
46,2025-01-29,59.7,67.7,14,Amber,False
46,2025-02-05,93.0,82.6,17,Amber,False
46,2025-02-12,70.6,90.4,3,Green,False
46,2025-02-19,76.5,88.2,15,Amber,True
46,2025-02-26,66.1,89.2,29,Red,False
46,2025-03-05,61.8,69.2,28,Red,False
47,2025-01-01,51.9,66.5,27,Red,False
47,2025-01-08,77.9,93.9,1,Green,False
47,2025-01-15,74.8,91.0,6,Green,False
47,2025-01-22,70.3,90.6,22,Red,False
47,2025-01-29,54.6,63.8,4,Red,False
47,2025-02-05,77.6,95.3,17,Amber,False
47,2025-02-12,66.0,89.2,12,Green,False
47,2025-02-19,81.9,94.5,6,Green,False
47,2025-02-26,83.9,94.1,2,Green,False
47,2025-03-05,63.1,60.8,21,Red,False
48,2025-01-01,80.3,82.9,21,Amber,False
48,2025-01-08,54.6,69.9,14,Amber,False
48,2025-01-15,74.8,92.7,11,Green,False
48,2025-01-22,54.9,65.7,24,Red,False
48,2025-01-29,67.3,92.3,18,Amber,False
48,2025-02-05,61.9,66.1,19,Amber,False
48,2025-02-12,99.2,85.4,12,Green,False
48,2025-02-19,64.4,78.4,23,Red,False
48,2025-02-26,66.1,89.2,13,Green,False
48,2025-03-05,71.6,101.1,18,Amber,False
49,2025-01-01,66.1,89.1,10,Green,False
49,2025-01-08,68.7,91.7,23,Red,False
49,2025-01-15,66.1,93.5,21,Amber,False
49,2025-01-22,80.3,94.4,23,Red,False
49,2025-01-29,82.7,97.4,2,Green,False
49,2025-02-05,68.0,99.0,5,Green,False
49,2025-02-12,75.4,94.9,0,Green,False
49,2025-02-19,76.0,85.7,8,Green,False
49,2025-02-26,67.7,80.3,15,Amber,False
49,2025-03-05,73.8,91.9,19,Amber,False
50,2025-01-01,68.5,93.3,13,Green,False
50,2025-01-08,82.2,95.3,16,Amber,False
50,2025-01-15,62.2,71.6,17,Amber,False
50,2025-01-22,79.3,88.9,14,Green,False
50,2025-01-29,68.0,87.1,17,Amber,False
50,2025-02-05,56.1,81.3,2,Amber,False
50,2025-02-12,79.6,91.7,1,Green,False
50,2025-02-19,64.8,85.8,29,Red,False
50,2025-02-26,69.1,90.7,1,Green,False
50,2025-03-05,55.6,64.5,24,Red,False
51,2025-01-01,66.3,88.2,6,Green,False
51,2025-01-08,70.2,95.2,28,Red,False
51,2025-01-15,63.3,74.0,26,Red,False
51,2025-01-22,68.2,89.5,13,Green,False
51,2025-01-29,70.9,95.5,19,Amber,False
51,2025-02-05,84.0,88.1,2,Green,True
51,2025-02-12,61.6,78.2,15,Amber,False
51,2025-02-19,78.6,85.9,20,Amber,False
51,2025-02-26,82.2,94.0,16,Amber,False
51,2025-03-05,70.0,90.1,19,Amber,False
52,2025-01-01,62.0,96.2,9,Amber,False
52,2025-01-08,62.9,79.2,5,Amber,False
52,2025-01-15,75.9,91.8,6,Green,False
52,2025-01-22,68.8,93.7,23,Red,False
52,2025-01-29,59.4,68.6,26,Red,False
52,2025-02-05,84.3,82.6,27,Red,False
52,2025-02-12,77.7,85.9,27,Red,False
52,2025-02-19,68.9,87.7,17,Amber,True
52,2025-02-26,86.6,88.3,10,Green,True
52,2025-03-05,71.0,100.2,14,Green,False
53,2025-01-01,77.0,95.6,29,Red,False
53,2025-01-08,67.9,97.5,2,Green,False
53,2025-01-15,64.1,83.0,6,Amber,False
53,2025-01-22,61.9,81.6,0,Amber,False
53,2025-01-29,67.6,94.6,17,Amber,False
53,2025-02-05,72.9,87.2,13,Green,False
53,2025-02-12,65.8,94.3,9,Green,False
53,2025-02-19,76.6,87.2,19,Amber,True
53,2025-02-26,59.4,68.7,23,Red,False
53,2025-03-05,56.6,76.3,21,Amber,False
54,2025-01-01,52.3,78.8,2,Amber,False
54,2025-01-08,61.0,59.0,10,Red,False
54,2025-01-15,69.8,94.6,8,Green,False
54,2025-01-22,82.3,90.7,29,Red,False
54,2025-01-29,68.5,88.4,16,Amber,False
54,2025-02-05,81.3,84.0,14,Green,False
54,2025-02-12,66.2,91.4,23,Red,True
54,2025-02-19,60.4,65.4,1,Amber,False
54,2025-02-26,71.8,96.5,4,Green,False
54,2025-03-05,69.1,83.5,20,Amber,False
55,2025-01-01,68.0,91.1,28,Red,False
55,2025-01-08,55.2,74.3,27,Red,False
55,2025-01-15,68.4,91.1,6,Green,False
55,2025-01-22,80.6,90.1,12,Green,False
55,2025-01-29,79.3,78.8,6,Amber,False
55,2025-02-05,86.4,93.8,17,Amber,False
55,2025-02-12,70.3,80.2,5,Green,False
55,2025-02-19,59.9,89.1,0,Amber,False
55,2025-02-26,71.6,84.0,5,Green,False
55,2025-03-05,63.7,80.3,0,Amber,False
56,2025-01-01,66.2,89.4,12,Green,False
56,2025-01-08,70.3,99.4,25,Red,False
56,2025-01-15,83.1,87.2,25,Red,False
56,2025-01-22,76.2,96.5,28,Red,False
56,2025-01-29,81.8,92.4,6,Green,False
56,2025-02-05,72.5,96.4,19,Amber,False
56,2025-02-12,56.0,85.6,6,Amber,False
56,2025-02-19,75.4,94.6,20,Amber,False
56,2025-02-26,60.3,72.5,9,Amber,False
56,2025-03-05,70.7,91.1,18,Amber,False
57,2025-01-01,81.8,98.4,8,Green,False
57,2025-01-08,86.1,90.8,27,Red,False
57,2025-01-15,68.5,82.8,17,Amber,False
57,2025-01-22,47.0,49.8,17,Red,False
57,2025-01-29,66.7,94.0,22,Red,False
57,2025-02-05,62.8,73.8,25,Red,False
57,2025-02-12,66.3,89.2,4,Green,False
57,2025-02-19,63.0,73.1,8,Amber,False
57,2025-02-26,64.6,72.9,4,Amber,False
57,2025-03-05,66.8,95.4,27,Red,False
